timestep,portfolio_value,hedge_ratio,log_prob,entropy,std0,mahal_sq,confidence,reward
190,1024000.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-1900.0
191,1035700.0,0.0,-0.9586064219474792,1.4229326248168945,,,,11700.0
192,1032000.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-3700.0
193,1027900.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-4100.0
194,1031800.0,0.0,-0.9586064219474792,1.4229326248168945,,,,3900.0
195,1028500.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-3300.0
196,1026200.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-2300.0
197,1030600.0,0.0,-0.9586064219474792,1.4229326248168945,,,,4400.0
198,1039300.0,0.0,-0.9586064219474792,1.4229326248168945,,,,8700.0
199,1049300.0,0.0,-0.9586064219474792,1.4229326248168945,,,,10000.0
200,1061000.0,0.0,-0.9586064219474792,1.4229326248168945,,,,11700.0
201,1054300.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-6700.0
202,1053600.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-700.0
203,1064400.0,0.0,-0.9586064219474792,1.4229326248168945,,,,10800.0
204,1070300.0,0.0,-0.9586064219474792,1.4229326248168945,,,,5900.0
205,1087500.0,0.0,-0.9586064219474792,1.4229326248168945,,,,17200.0
206,1089800.0,0.0,-0.9586064219474792,1.4229326248168945,,,,2300.0
207,1081300.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-8500.0
208,1092400.0,0.0,-0.9586064219474792,1.4229326248168945,,,,11100.0
209,1095900.0,0.0,-0.9586064219474792,1.4229326248168945,,,,3500.0
210,1110800.0,0.0,-0.9586064219474792,1.4229326248168945,,,,14900.0
211,1120300.0,0.0,-0.9586064219474792,1.4229326248168945,,,,9500.0
212,1103300.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-17000.0
213,1099400.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-3900.0
214,1097100.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-2300.0
215,1109500.0,0.0,-0.9586064219474792,1.4229326248168945,,,,12400.0
216,1090600.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-18900.0
217,1093100.0,0.0,-0.9586064219474792,1.4229326248168945,,,,2500.0
218,1082200.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-10900.0
219,1077900.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-4300.0
220,1064900.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-13000.0
221,1070600.0,0.0,-0.9586064219474792,1.4229326248168945,,,,5700.0
222,1074200.0,0.0,-0.9586064219474792,1.4229326248168945,,,,3600.0
223,1080500.0,0.0,-0.9586064219474792,1.4229326248168945,,,,6300.0
224,1089200.0,0.0,-0.9586064219474792,1.4229326248168945,,,,8700.0
225,1102700.0,0.0,-0.9586064219474792,1.4229326248168945,,,,13500.0
226,1096200.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-6500.0
227,1108200.0,0.0,-0.9586064219474792,1.4229326248168945,,,,12000.0
228,1103900.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-4300.0
229,1114200.0,0.0,-0.9586064219474792,1.4229326248168945,,,,10300.0
230,1113500.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-700.0
231,1112700.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-800.0
232,1095800.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-16900.0
233,1086300.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-9500.0
234,1092800.0,0.0,-0.9586064219474792,1.4229326248168945,,,,6500.0
235,1091300.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-1500.0
236,1076500.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-14800.0
237,1073200.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-3300.0
238,1053600.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-19600.0
239,1051500.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-2100.0
240,1044000.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-7500.0
241,1054900.0,0.0,-0.9586064219474792,1.4229326248168945,,,,10900.0
242,1056500.0,0.0,-0.9586064219474792,1.4229326248168945,,,,1600.0
243,1055000.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-1500.0
244,1063100.0,0.0,-0.9586064219474792,1.4229326248168945,,,,8100.0
245,1055800.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-7300.0
