date,price
2011-03-03,4014.8651612903227
2011-03-04,4006.1535483870966
2011-03-05,3997.441935483871
2011-03-06,3988.730322580645
2011-03-07,3980.0187096774193
2011-03-08,3971.3070967741937
2011-03-09,3962.5954838709677
2011-03-10,3953.883870967742
2011-03-11,3945.172258064516
2011-03-12,3936.4606451612904
2011-03-13,3927.7490322580647
2011-03-14,3919.0374193548387
2011-03-15,3910.325806451613
2011-03-16,3901.614193548387
2011-03-17,3892.9025806451614
2011-03-18,3884.1909677419353
2011-03-19,3875.4793548387097
2011-03-20,3866.767741935484
2011-03-21,3858.056129032258
2011-03-22,3849.3445161290324
2011-03-23,3840.6329032258063
2011-03-24,3831.9212903225807
2011-03-25,3823.209677419355
2011-03-26,3814.498064516129
2011-03-27,3805.7864516129034
2011-03-28,3797.0748387096774
2011-03-29,3788.3632258064517
2011-03-30,3779.651612903226
2011-03-31,3770.94
2011-04-01,3767.720333333333
2011-04-02,3764.500666666667
2011-04-03,3761.281
2011-04-04,3758.0613333333336
2011-04-05,3754.8416666666667
2011-04-06,3751.622
2011-04-07,3748.4023333333334
2011-04-08,3745.1826666666666
2011-04-09,3741.963
2011-04-10,3738.7433333333333
2011-04-11,3735.5236666666665
2011-04-12,3732.304
2011-04-13,3729.0843333333332
2011-04-14,3725.864666666667
2011-04-15,3722.645
2011-04-16,3719.425333333333
2011-04-17,3716.2056666666667
2011-04-18,3712.986
2011-04-19,3709.7663333333335
2011-04-20,3706.5466666666666
2011-04-21,3703.3269999999998
2011-04-22,3700.1073333333334
2011-04-23,3696.8876666666665
2011-04-24,3693.668
2011-04-25,3690.4483333333333
2011-04-26,3687.2286666666664
2011-04-27,3684.009
2011-04-28,3680.789333333333
2011-04-29,3677.5696666666668
2011-04-30,3674.35
2011-05-01,3675.3709677419356
2011-05-02,3676.391935483871
2011-05-03,3677.4129032258065
2011-05-04,3678.4338709677418
2011-05-05,3679.4548387096775
2011-05-06,3680.4758064516127
2011-05-07,3681.4967741935484
2011-05-08,3682.5177419354836
2011-05-09,3683.5387096774193
2011-05-10,3684.5596774193546
2011-05-11,3685.5806451612902
2011-05-12,3686.601612903226
2011-05-13,3687.622580645161
2011-05-14,3688.643548387097
2011-05-15,3689.664516129032
2011-05-16,3690.685483870968
2011-05-17,3691.706451612903
2011-05-18,3692.7274193548387
2011-05-19,3693.748387096774
2011-05-20,3694.7693548387097
2011-05-21,3695.7903225806454
2011-05-22,3696.8112903225806
2011-05-23,3697.8322580645163
2011-05-24,3698.8532258064515
2011-05-25,3699.874193548387
2011-05-26,3700.8951612903224
2011-05-27,3701.916129032258
2011-05-28,3702.9370967741934
2011-05-29,3703.958064516129
2011-05-30,3704.9790322580643
2011-05-31,3706.0
2011-06-01,3702.887333333333
2011-06-02,3699.7746666666667
2011-06-03,3696.662
2011-06-04,3693.5493333333334
2011-06-05,3690.4366666666665
2011-06-06,3687.324
2011-06-07,3684.211333333333
2011-06-08,3681.0986666666668
2011-06-09,3677.986
2011-06-10,3674.8733333333334
2011-06-11,3671.7606666666666
2011-06-12,3668.648
2011-06-13,3665.5353333333333
2011-06-14,3662.422666666667
2011-06-15,3659.31
2011-06-16,3656.197333333333
2011-06-17,3653.0846666666666
2011-06-18,3649.9719999999998
2011-06-19,3646.8593333333333
2011-06-20,3643.7466666666664
2011-06-21,3640.634
2011-06-22,3637.521333333333
2011-06-23,3634.4086666666667
2011-06-24,3631.296
2011-06-25,3628.1833333333334
2011-06-26,3625.0706666666665
2011-06-27,3621.958
2011-06-28,3618.845333333333
2011-06-29,3615.732666666667
2011-06-30,3612.62
2011-07-01,3610.4090322580646
2011-07-02,3608.198064516129
2011-07-03,3605.9870967741936
2011-07-04,3603.776129032258
2011-07-05,3601.5651612903225
2011-07-06,3599.354193548387
2011-07-07,3597.1432258064515
2011-07-08,3594.932258064516
2011-07-09,3592.7212903225804
2011-07-10,3590.510322580645
2011-07-11,3588.2993548387094
2011-07-12,3586.088387096774
2011-07-13,3583.877419354839
2011-07-14,3581.666451612903
2011-07-15,3579.455483870968
2011-07-16,3577.244516129032
2011-07-17,3575.0335483870967
2011-07-18,3572.822580645161
2011-07-19,3570.6116129032257
2011-07-20,3568.4006451612904
2011-07-21,3566.1896774193547
2011-07-22,3563.9787096774194
2011-07-23,3561.7677419354836
2011-07-24,3559.5567741935483
2011-07-25,3557.345806451613
2011-07-26,3555.1348387096773
2011-07-27,3552.923870967742
2011-07-28,3550.7129032258063
2011-07-29,3548.501935483871
2011-07-30,3546.290967741935
2011-07-31,3544.08
2011-08-01,3545.841935483871
2011-08-02,3547.603870967742
2011-08-03,3549.365806451613
2011-08-04,3551.1277419354838
2011-08-05,3552.889677419355
2011-08-06,3554.6516129032257
2011-08-07,3556.413548387097
2011-08-08,3558.1754838709676
2011-08-09,3559.9374193548388
2011-08-10,3561.6993548387095
2011-08-11,3563.4612903225807
2011-08-12,3565.2232258064514
2011-08-13,3566.9851612903226
2011-08-14,3568.7470967741933
2011-08-15,3570.5090322580645
2011-08-16,3572.2709677419352
2011-08-17,3574.0329032258064
2011-08-18,3575.794838709677
2011-08-19,3577.5567741935483
2011-08-20,3579.318709677419
2011-08-21,3581.0806451612902
2011-08-22,3582.842580645161
2011-08-23,3584.604516129032
2011-08-24,3586.366451612903
2011-08-25,3588.128387096774
2011-08-26,3589.890322580645
2011-08-27,3591.652258064516
2011-08-28,3593.4141935483867
2011-08-29,3595.176129032258
2011-08-30,3596.9380645161286
2011-08-31,3598.7
2011-09-01,3595.934333333333
2011-09-02,3593.1686666666665
2011-09-03,3590.403
2011-09-04,3587.637333333333
2011-09-05,3584.8716666666664
2011-09-06,3582.1059999999998
2011-09-07,3579.340333333333
2011-09-08,3576.5746666666664
2011-09-09,3573.8089999999997
2011-09-10,3571.043333333333
2011-09-11,3568.2776666666664
2011-09-12,3565.5119999999997
2011-09-13,3562.746333333333
2011-09-14,3559.9806666666664
2011-09-15,3557.215
2011-09-16,3554.4493333333335
2011-09-17,3551.683666666667
2011-09-18,3548.918
2011-09-19,3546.1523333333334
2011-09-20,3543.3866666666668
2011-09-21,3540.621
2011-09-22,3537.8553333333334
2011-09-23,3535.0896666666667
2011-09-24,3532.324
2011-09-25,3529.5583333333334
2011-09-26,3526.7926666666667
2011-09-27,3524.027
2011-09-28,3521.2613333333334
2011-09-29,3518.4956666666667
2011-09-30,3515.73
2011-10-01,3508.1506451612904
2011-10-02,3500.571290322581
2011-10-03,3492.991935483871
2011-10-04,3485.412580645161
2011-10-05,3477.8332258064515
2011-10-06,3470.253870967742
2011-10-07,3462.6745161290323
2011-10-08,3455.0951612903227
2011-10-09,3447.515806451613
2011-10-10,3439.936451612903
2011-10-11,3432.3570967741935
2011-10-12,3424.777741935484
2011-10-13,3417.1983870967742
2011-10-14,3409.6190322580646
2011-10-15,3402.039677419355
2011-10-16,3394.460322580645
2011-10-17,3386.8809677419354
2011-10-18,3379.3016129032258
2011-10-19,3371.722258064516
2011-10-20,3364.1429032258065
2011-10-21,3356.563548387097
2011-10-22,3348.9841935483873
2011-10-23,3341.4048387096773
2011-10-24,3333.8254838709677
2011-10-25,3326.246129032258
2011-10-26,3318.6667741935485
2011-10-27,3311.087419354839
2011-10-28,3303.508064516129
2011-10-29,3295.928709677419
2011-10-30,3288.3493548387096
2011-10-31,3280.77
2011-11-01,3288.2953333333335
2011-11-02,3295.8206666666665
2011-11-03,3303.346
2011-11-04,3310.8713333333335
2011-11-05,3318.3966666666665
2011-11-06,3325.922
2011-11-07,3333.4473333333335
2011-11-08,3340.9726666666666
2011-11-09,3348.498
2011-11-10,3356.0233333333335
2011-11-11,3363.5486666666666
2011-11-12,3371.074
2011-11-13,3378.5993333333336
2011-11-14,3386.1246666666666
2011-11-15,3393.65
2011-11-16,3401.1753333333336
2011-11-17,3408.7006666666666
2011-11-18,3416.226
2011-11-19,3423.7513333333336
2011-11-20,3431.2766666666666
2011-11-21,3438.802
2011-11-22,3446.3273333333336
2011-11-23,3453.8526666666667
2011-11-24,3461.378
2011-11-25,3468.9033333333336
2011-11-26,3476.4286666666667
2011-11-27,3483.954
2011-11-28,3491.4793333333337
2011-11-29,3499.0046666666667
2011-11-30,3506.53
2011-12-01,3507.838064516129
2011-12-02,3509.146129032258
2011-12-03,3510.454193548387
2011-12-04,3511.762258064516
2011-12-05,3513.070322580645
2011-12-06,3514.3783870967745
2011-12-07,3515.6864516129035
2011-12-08,3516.9945161290325
2011-12-09,3518.3025806451615
2011-12-10,3519.6106451612904
2011-12-11,3520.9187096774194
2011-12-12,3522.2267741935484
2011-12-13,3523.5348387096774
2011-12-14,3524.8429032258064
2011-12-15,3526.1509677419353
2011-12-16,3527.459032258065
2011-12-17,3528.7670967741938
2011-12-18,3530.0751612903227
2011-12-19,3531.3832258064517
2011-12-20,3532.6912903225807
2011-12-21,3533.9993548387097
2011-12-22,3535.3074193548387
2011-12-23,3536.6154838709676
2011-12-24,3537.9235483870966
2011-12-25,3539.2316129032256
